🆕,D,S,NAME,PARENT TYPE,TYPE,BRAND,ORIGIN,ABV,DNGR ,SHWN ,FINAL,DONGER COMMENTS,SHAWOOBOO COMMENTS
,⭐,⭐,Jerrimiah Red,PALE ALES,Irish Red Ale,BJ'S BREWHOUSE,"West Covina, CA",7.3%,8.5,8.1,8.3,Welcome to beer. ,better with a burger
,,,NW Red Ale,PALE ALES,American Amber / Red Ale,BUOY BREWING COMPANY,"Astoria, OR",6.7%,8.2,,,Very similar to Jerrimiah Red. Glorious after a 12-hour roadtrip stint.,
,⭐,⭐,"Duvel 6,66%",PALE ALES,Belgian Blonde Ale,BROUWERIJ DUVEL MOORTGAT ,"Breendonk, BELGIUM",6.7%,7.8,8.0,7.9,These Duvel guys know what they're doing.,got dam this tasty
,⭐,,Third Window Blonde,PALE ALES,Belgian Blonde Ale,THIRD WINDOW BREWING COMPANY,"Santa Barbara, CA",6.3%,7.6,7.6,7.6,A tripel lite. Great Belgian notes with all the smells of a wit and tripel. Excellent.,"damn tasty blonde, nice wit notes with lingering belgian notes as well"
,,,Westmalle Trappist Extra,PALE ALES,Belgian Enkel,BROUWERIJ DER TRAPPISTEN VAN WESTMALLE,"Westmalle, BELGIUM",4.8%,7.6,7.4,7.5,Solid tripel notes in a light and fresh body.,"really good, but for the premium, 666 is better"
,,,Monastère Blond,PALE ALES,Belgian Blonde Ale,UNITED DUTCH BREWERIES,"Breda, NETHERLANDS",6.5%,7.2,7.0,7.1,The best parts of a hefe acccentuated with the best parts of a wit. Great Belgian style beer.,"fuck me, gotta hand it to the frenchies on this one, actually a really great belgian blond"
,,,The Stand Blonde Ale ,PALE ALES,American Blonde Ale,STONE BREWING,"Escondido, CA",5.0%,7.0,7.2,7.1,Hopped just enough to be crispy. Malt flavor and body are exceptionally refreshing.,"really malty, med body, slight lime, perfect bubbles"
,,,Railsplitter,PALE ALES,Irish Red Ale,LINCOLN BEER COMPANY,"Burbank, CA",5.5%,7.0,6.7,6.9,"More complex than J. Red, just maybe not exactly better. You pay for it, for sure.","aussie lady rec, pretty ok jerry red with some medicinal notes"
,,,Kagua Saison,PALE ALES,Saison,NIPPON BEER COMPANY**,"Brakel, BELGIUM",5.6%,6.3,7.0,6.7,An easier drink than Blanc. A tad bitter.,good but not worth the price of entry
,,⭐,Vanilla Rice,PALE ALES,American Blonde Ale,GOLDEN ROAD BREWING,"Los Angeles, CA",6.0%,5.7,7.5,6.6,"Best on nitro. Not sure if it's a blonde ale, it's almost exactly the same as Cali Creamin'.",MMMMMMMMMMMMMMMM
,,,London Pride,PALE ALES,English Bitter,FULLER'S GRIFFFIN BREWERY,"London, ENGLAND",4.7%,6.4,6.5,6.5,Solid malt body with slightly lighter malt flavors. ,"not amber, but still pretty damn good. nice feel and light"
,,,Orval Trappist Ale,PALE ALES,Belgian Pale Ale,BRASSERIE D'ORVAL,"Florenville, BELGIUM",6.2%,6.7,6.3,6.5,"Solid Belgian ale notes up top, but masked by heavy carbonation. ","not bad at all, pale ale with trappist notes, but Number 1? eeeeeehhhh
[3.5|over carbonated seltzer (lmao best in class too, might need a round two on this shit)]"
,,,Rubia Light,PALE ALES,American Blonde Ale,BREWJERIA COMPANY,"Pico Rivera, CA",4.5%,5.9,7.0,6.5,"Doesn't taste light at all. Very briefly sour, like a hint of cerveza. Solid.","ultra flavorful for a light. floral, bright, crisp, this is a fantastic crushable beer"
,,,Belk's ESB,PALE ALES,Extra Special / Strong Bitter,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",6.8%,,6.4,,,"actually nothing on the nose, but really tastefully bitter. initial taste of bananas then the bitterness slowly follows,"
,,,Fuller's ESB,PALE ALES,Extra Special / Strong Bitter,FULLER'S GRIFFFIN BREWERY,"London, ENGLAND",5.9%,6.5,6.2,6.4,Maltier and overall more flavorful than London Pride. Slightly bitter and very refreshing. ,bu tai qu
,,,Rubia Fuerte,PALE ALES,American Blonde Ale,BREWJERIA COMPANY,"Pico Rivera, CA",6.5%,6.3,6.4,6.4,Might be the richest blonde ale yet. Much fuller in both body and flavor than 805.,"heavier in body compared to the rubia light, but flavor-wise slightly lacking in comparison"
